brand,battery,ram(GB),storage(GB),price(USD)
Huawei,2200,2,16,120.0
LG,2700,2,16,100.0
Huawei,3000,4,16,420.0
Xiaomi,4100,4,32,150.0
Huawei,3200,4,32,420.0
Sony,2300,3,32,140.0
Huawei,3000,4,32,420.0
Huawei,3750,6,64,170.0
Sony,2700,4,32,250.0
LG,4500,2,16,170.0
Xiaomi,4100,4,16,130.0
Sony,2900,4,32,220.0
Sony,3230,4,64,320.0
Sony,2620,2,16,110.0
Oppo,2900,3,32,250.0
Oppo,4000,6,64,250.0
Samsung,2800,2,16,350.0
Samsung,3300,2,16,170.0
Samsung,3500,6,64,350.0
LG,2500,2,8,170.0
Huawei,3000,2,16,280.0
LG,2800,5,16,160.0
Xiaomi,3350,6,64,330.0
Huawei,3000,2,16,240.0
Huawei,4000,2,16,90.0
Huawei,3340,4,64,160.0
Huawei,2950,4,64,140.0
Huawei,2200,1,8,230.0
Samsung,2050,1,8,240.0
Xiaomi,5300,4,32,200.0
Xiaomi,4100,4,16,110.0
LG,3080,2,32,90.0
Oppo,3200,4,64,250.0
LG,4100,2,32,180.0
Oppo,3200,4,64,250.0
Oppo,3000,6,64,250.0
Oppo,4000,6,64,250.0
Samsung,3300,4,32,200.0
Samsung,3600,3,16,130.0
Samsung,3600,3,16,200.0
Samsung,3000,3,16,80.0
Huawei,4000,3,32,130.0
Oppo,3200,4,64,250.0
LG,3000,4,32,110.0
LG,3000,4,16,200.0
Samsung,1950,3,16,430.0
Samsung,3200,4,64,200.0
Huawei,3020,2,16,250.0
Sony,2700,4,32,300.0
Samsung,4000,4,64,500.0
Sony,3430,4,32,150.0
Lenovo,4000,4,32,200.0
Samsung,3300,6,64,210.0
LG,3300,4,64,200.0
Sony,2700,4,64,260.0
Xiaomi,3080,4,32,170.0
Oppo,3000,3,16,480.0
Xiaomi,3400,8,64,410.0
Xiaomi,3500,6,64,280.0
Lenovo,4000,3,32,200.0
Samsung,3000,4,32,550.0
Lenovo,4000,4,32,180.0
Apple,1821,2,64,210.0
Apple,2716,3,64,280.0
Oppo,3200,4,64,260.0
Oppo,3200,6,32,150.0
Sony,2620,3,16,168.0
Huawei,4000,6,64,150.0
Huawei,4000,4,64,180.0
Samsung,2000,1,8,500.0
