brand,battery,ram(GB),storage(GB),price(USD),price_category,brand_encoded,Cluster
Huawei,-2.7577122975976764,-1.7109151698115024,-1.2331403039923066,-0.8197934449554886,Murah,3,4
LG,-2.125869402475078,-1.7109151698115024,-1.2331403039923066,-0.8934859060019876,Murah,4,8
Huawei,-1.7467636654015188,-0.9771566103774622,-1.2331403039923066,0.28559347074199914,Mahal,3,8
Xiaomi,-0.3567092961318021,-0.9771566103774622,-1.0217254361013284,-0.7092547533857397,Murah,12,3
Huawei,-1.4940265073524794,-0.9771566103774622,-1.0217254361013284,0.28559347074199914,Mahal,3,8
Sony,-2.6313437185731567,-1.3440358900944822,-1.0217254361013284,-0.7461009839089894,Murah,10,4
Huawei,-1.7467636654015188,-0.9771566103774622,-1.0217254361013284,0.28559347074199914,Mahal,3,8
Huawei,-0.7989993227176211,-0.2433980509434221,-0.5988957003193723,-0.6355622923392406,Sedang,3,3
Sony,-2.125869402475078,-0.9771566103774622,-1.0217254361013284,-0.3407924481532439,Sedang,10,8
LG,0.14876501996627675,-1.7109151698115024,-1.2331403039923066,-0.6355622923392406,Sedang,4,6
Xiaomi,-0.3567092961318021,-0.9771566103774622,-1.2331403039923066,-0.7829472144322389,Murah,12,3
Sony,-1.8731322444260385,-0.9771566103774622,-1.0217254361013284,-0.45133113972299266,Sedang,10,8
Sony,-1.4561159336451235,-0.9771566103774622,-0.5988957003193723,-0.08286883449049676,Mahal,10,0
Sony,-2.2269642656946935,-1.7109151698115024,-1.2331403039923066,-0.8566396754787381,Murah,10,4
Oppo,-1.8731322444260385,-1.3440358900944822,-1.0217254361013284,-0.3407924481532439,Sedang,7,8
Oppo,-0.4830778751563218,-0.2433980509434221,-0.5988957003193723,-0.3407924481532439,Sedang,7,3
Samsung,-1.9995008234505582,-1.7109151698115024,-1.2331403039923066,0.027669857079252007,Mahal,9,8
Samsung,-1.3676579283279597,-1.7109151698115024,-1.2331403039923066,-0.6355622923392406,Sedang,9,0
Samsung,-1.1149207702789203,-0.2433980509434221,-0.5988957003193723,0.027669857079252007,Mahal,9,0
LG,-2.3786065605241173,-1.7109151698115024,-1.3388477379377954,-0.6355622923392406,Sedang,4,4
Huawei,-1.7467636654015188,-1.7109151698115024,-1.2331403039923066,-0.23025375658349512,Sedang,3,8
LG,-1.9995008234505582,-0.6102773306604421,-1.2331403039923066,-0.6724085228624902,Sedang,4,8
Xiaomi,-1.3044736388156999,-0.2433980509434221,-0.5988957003193723,-0.046022603967247167,Mahal,12,0
Huawei,-1.7467636654015188,-1.7109151698115024,-1.2331403039923066,-0.3776386786764935,Sedang,3,8
Huawei,-0.4830778751563218,-1.7109151698115024,-1.2331403039923066,-0.9303321365252373,Murah,3,3
Huawei,-1.317110496718152,-0.9771566103774622,-0.5988957003193723,-0.6724085228624902,Sedang,3,0
Huawei,-1.8099479549137787,-0.9771566103774622,-0.5988957003193723,-0.7461009839089894,Murah,3,8
Huawei,-2.7577122975976764,-2.0777944495285223,-1.3388477379377954,-0.41448490919974307,Sedang,3,4
Samsung,-2.947265166134456,-2.0777944495285223,-1.3388477379377954,-0.3776386786764935,Sedang,9,4
Xiaomi,1.1597136521624345,-0.9771566103774622,-1.0217254361013284,-0.5250236007694918,Sedang,12,7
Xiaomi,-0.3567092961318021,-0.9771566103774622,-1.2331403039923066,-0.8566396754787381,Murah,12,3
LG,-1.645668802181903,-1.7109151698115024,-1.0217254361013284,-0.9303321365252373,Murah,4,8
Oppo,-1.4940265073524794,-0.9771566103774622,-0.5988957003193723,-0.3407924481532439,Sedang,7,8
LG,-0.3567092961318021,-1.7109151698115024,-1.0217254361013284,-0.598716061815991,Sedang,4,3
Oppo,-1.7467636654015188,-0.2433980509434221,-0.5988957003193723,-0.3407924481532439,Sedang,7,8
Samsung,-1.3676579283279597,-0.9771566103774622,-1.0217254361013284,-0.5250236007694918,Sedang,9,0
Samsung,-0.9885521912544006,-1.3440358900944822,-1.2331403039923066,-0.7829472144322389,Murah,9,0
Samsung,-0.9885521912544006,-1.3440358900944822,-1.2331403039923066,-0.5250236007694918,Sedang,9,0
Samsung,-1.7467636654015188,-1.3440358900944822,-1.2331403039923066,-0.9671783670484868,Murah,9,8
Huawei,-0.4830778751563218,-1.3440358900944822,-1.0217254361013284,-0.7829472144322389,Murah,3,3
LG,-1.7467636654015188,-0.9771566103774622,-1.0217254361013284,-0.8566396754787381,Murah,4,8
LG,-1.7467636654015188,-0.9771566103774622,-1.2331403039923066,-0.5250236007694918,Sedang,4,8
Samsung,-3.073633745158976,-1.3440358900944822,-1.2331403039923066,0.3224397012652487,Mahal,9,4
Samsung,-1.4940265073524794,-0.9771566103774622,-0.5988957003193723,-0.5250236007694918,Sedang,9,8
Huawei,-1.721489949596615,-1.7109151698115024,-1.2331403039923066,-0.3407924481532439,Sedang,3,8
Sony,-2.125869402475078,-0.9771566103774622,-1.0217254361013284,-0.15656129553699594,Sedang,10,8
Samsung,-0.4830778751563218,-0.9771566103774622,-0.5988957003193723,0.5803633149279959,Mahal,9,3
Sony,-1.203378775596084,-0.9771566103774622,-1.0217254361013284,-0.7092547533857397,Murah,10,0
Lenovo,-0.4830778751563218,-0.9771566103774622,-1.0217254361013284,-0.5250236007694918,Sedang,5,3
Samsung,-1.3676579283279597,-0.2433980509434221,-0.5988957003193723,-0.4881773702462422,Sedang,9,0
LG,-1.3676579283279597,-0.9771566103774622,-0.5988957003193723,-0.5250236007694918,Sedang,4,0
Sony,-2.125869402475078,-0.9771566103774622,-0.5988957003193723,-0.3039462176299943,Sedang,10,8
Xiaomi,-1.645668802181903,-0.9771566103774622,-1.0217254361013284,-0.6355622923392406,Sedang,12,8
Oppo,-1.7467636654015188,-1.3440358900944822,-1.2331403039923066,0.5066708538814967,Mahal,7,8
Xiaomi,-1.24128934930344,0.490360508490618,-0.5988957003193723,0.24874724021874953,Mahal,12,0
Xiaomi,-1.1149207702789203,-0.2433980509434221,-0.5988957003193723,-0.23025375658349512,Sedang,12,0
Lenovo,-0.4830778751563218,-1.3440358900944822,-1.0217254361013284,-0.5250236007694918,Sedang,5,3
Samsung,-1.7467636654015188,-0.9771566103774622,-1.0217254361013284,0.7645944675442438,,9,8
Lenovo,-0.4830778751563218,-0.9771566103774622,-1.0217254361013284,-0.598716061815991,Sedang,5,3
Apple,-3.2366492121006063,-1.7109151698115024,-0.5988957003193723,-0.4881773702462422,Sedang,0,4
