userName,score,at,content
Robbi Eko,5,2023-03-30 14:37:38,sip... terima kasih 🙏
mimi cedar,5,2023-03-30 14:35:59,Bagaimana cara transfer sesama Gopay. Gopay saya tidak bisa lagi transfer sesama gopay...
Elisabeth Kiswati Ladiyo,5,2023-03-30 14:33:41,"Aman,dan cepat. Sesuai dengan ekspektasi.👍🏼👍🏼"
Jemmi Meliau ibanez,5,2023-03-30 14:23:25,. aplikasi yang cukup membantu
Boedi Arsih,5,2023-03-30 14:19:13,Cepet sampainya
Nabila Nayla,5,2023-03-30 14:17:12,yihaw
Irsya chanel,5,2023-03-30 14:15:20,bagus
Sunar tiee,2,2023-03-30 13:55:29,Kalou di perdalam susah dapetnya
Irwan Sulaeman,5,2023-03-30 13:50:32,baik sekali
EKA WAHYU WIDIYANTO,1,2023-03-30 13:47:43,saya top up gopay dengan nomer akun saya yang benar tetapi kenapa bisa salah kirim ke orang lain ya? pdhl sudah bener mengasihkan nomer akunya
Petrus Widjijono,5,2023-03-30 13:38:54,baik
Thomas Gorga,1,2023-03-30 13:37:33,Akun hampir sebulan anyepin trus
waliya habibah,1,2023-03-30 13:35:59,"Tolong ya admin di training lagi supir goride nya. Saya sudah mengalami kekecewaan dua kali, yang pertama supir tidak hati-hati di jalan macet dia nyalip tapi tidak pake perhitungan sampai kaki saya kebentur tiang telepon dan kenalpot motor orang lain di jalan. Dan yang kedua supir ngeyel padahal dia yg salah tapi tidak mau mengaku salah malah pergi tiba-tiba saat saya sedang bicara"
Aisuryani Suryani,5,2023-03-30 13:22:49,Ok
Ridho Budi,3,2023-03-30 13:20:55,Kalo ada sistem bayar ditempat Gk sih?
Josh 1mmanuel,1,2023-03-30 13:12:31,Saya sudah komplain udh 2 hari blm di bales ini loading trs saya mau transaksi g bisa saya hapus dowload lg malah loading trs pas mau verif nomor internet bagus saya udh pake data jaringan wifi tp masih loading knp ya?? Trs email saya g di respon
lucia ambar,5,2023-03-30 12:59:43,Menu tarik tunai saya tidak ada. Mohon segera diperbaiki supaya muncul kembali. Terimakasih.
Puji anto Puji,5,2023-03-30 12:59:17,Bagus
Yanti Ibhu,5,2023-03-30 12:58:13,Gojek memang oke
Suharman Arman,1,2023-03-30 12:49:19,Gojekindonesia luh kasih kerjaan ke orang IT yang benar. Masa akun saya dibuat gagu seenaknya.
Invinix Hot,5,2023-03-30 12:47:43,D perbaiki lagi
Samira Laila Luthfiani,1,2023-03-30 12:39:55,2x tf ke bank lain pedning mulu gajelass mending perbaiki dulu deh sistemnya. sebell banget buang2 waktu
