content,score
sangat baik,5
ShopeePay memudahkan pembayaran saat berbelanja,4
"suka banget. shopeepay. shopeeleter, sheabank. ini bertiga aku suka.",5
good jooob,5
mantap pay,5
yahhh bagus si,5
gak bisa di instal,1
"aplikasi berjalan sangat baik, tidak lemot dan sangat membantu untuk kehidupan sehari hari",5
shopeey mantap,5
baguss,5
nyaman mudah terpercaya,5
ribet mau transver aja harus makek ktp,1
mantull,5
sangat membantu,5
mantap,5
sering banget ngeblank putih sama eror kalo mau bayar pake shopee pay,2
good,5
baguss,5
bagus cuman mngjukan pinjaman susah,5
sangat puas,4
"Baguss"" lancar sekali, tidak beriklan, tdk ada bug & lemot, sehingga sukalah bertransaksi dan menjelajahi setiap detail dari fitur""nya. Tetapi sayang juga sih ada begian fitur-menu tsb belum terlalu dipahami / kegunaannya fungsi dan maksudnya, cuman ada beberapa dr fitur fitur yg aktif digunain dan hampir setiap hari memakainya, seperti ketik mengisi token, membayar tagihan, transfer, mnurut pengalaman smua oke,gak suka eror, sering ada diskon, terutama trnsfer ke smua bank,biaya gratissss.",5
sangat bagus dan dapat dipercaya,5
saya kasih 5 bintang ka,5
sangat membantu,5
pengen segera diaktifkan spay laters,4
"saya beli celana kekecilan Jaji sekarang abis lebaran mau ganti ukuran belum juga kesel banget Rp 100,000 jadi Rp 148, 000 mau kapan apa aku percaya sama toko yg ada di Shopee !",3
ok,5
"kak Cs yg saya sayangi, saya mau minta tolong, Spinjam saya limit nya telah kadaluarsa, udah ulang 4kali pengajuan ulang, tapi masih kadarluasa... bisakah kakak Cs, bantu saya...",5
sangat membantu sekali trimakasi,5
bagus skli,5
"good,,,banyak fitur nya & mdh di gunakan",5
sangat membantu transaksi,5
"bagus lancar buat TF ,transaksi jg mudah,pembyaran beli online jg gampang... mudah d gunakan wku suka..👍",5
Mudah digunakan. Banyak pilihan top up.,5
membantu sekali pas lagi kuota hbs lbh cepat beli,4
ok,5
"sangat mudah di mengerti untuk segala fitur"" di Shopee pay dan saya berharap untuk kedepan nya aplikasi Shopee pay selalu di tingkat kan terus",5
sangat membantu,5
lumayan membantu transaksi,5
sangat baik,4
sangat mudah digunakan bwt keperluan,5
semoga lancar,5
mantap Terima kasih shoppe playter memang ngebantu bangat. your good,5
ga keren,1
soalnya limit gak bisa cuman gara gara lewat padahal saya bayar sama bunganya,1
mantab,5
"NSGSV4476 baru coba...semoga lancar,,,,",5
"tidak ada iklan & bagus bgt ,mudah untuk pembayaran secara cepat & tranafer tanpa potongan wajib d download",5
"aplikasi shopeePay memang mudah sekali dan banyak bonusnya apalagi jika buat belanja pasti dapat diskon dan lebih murah lagi, troms shopee Pay",5
Knp saya tidak bisa gunakan lagi fitur S-Pinjam??? Sedangkan pinjam an saya sudah lunas terbayar !!!,3
good,5
sangat bangus,4
baik,5
saya suka menggunakan aplikasi ini sangat membantu,5
sangat bagus,5
Sangat baik & terpercaya..,5
"selalu di tolak data saya, tapi saya tetap berusaha agar data saya di trima",3
bagus sekali buat top up,5
puas,5
permasalahan tidak pernah ada solusinya,1
bagus,5
aplikasi nya sangat membantu,5
"akun paylater tiba tiba di batasin tanpa sebab , padahal pakai udah bertahun tahun dan ga pernah telat bayar",1
bangke,1
sangat membantu untuk payment apa ajah...,5
mantap,5
ok,5
"telat sehari g ada telfon anjir dendanya gede bner, kapok makenya",1
transaksi lebih mudah pakai shopeepay,5
bagus,5
"dulu enak belanja..dag pikir langsung chekout..., skrang ongkir mahal,,,.tp setelah pakai VIP wah enak belanja bisa 0 ongkirnya. Belanja dag perlu mikir ongkir lagi..mantap",5
sangat nyaman,5
sangat membantu buat masyarakat dalam melakukan transaksi apapun,5
mantap,5
ok,5
👍baguss banget,5
baik,5
baguss bangetttt pokokknyaaaaa,5
rekomendasi,5
Bagus,5
bagus lancar transaksi semkin mnyenangkan,5
aplikasi mantap membantu mewujudkan kebutuhan kami,5
banyak keuntungan mengunakan aplikasih shopeepay-gebyar ramadan,5
Baguss,4
"gak ada tunggakan apapun , tapi pinjaman gagal terus , pastikan perilaku kredit baik ktanya , aneh ...",1
terlu bnyk yg hrs di penuhi untuk dpt point.... di instal aj php dpt 50k,2
mantap,5
sangat membantu,5
mantap betul,5
nice membantu sekalii,5
shoppey mantap jdi lebih simple,5
jaringan bagus dan harga sangat murah,5
ok,5
mantap,5
kerennn,5
Aplikasi bagus,1
"Thank you good job, gitu ja ko repot :).",5
ShopeePay sungguh memuaskan,5
mantaaap,5
penggunaan sangat mudah,5
sangat baik,5
ok,5
shopeepay emang mantap,5
mana kode reperal opsional nya,5
banyak membantu,5
sangat bagus,5
ok,5
"paya, gak ngasi pinjaman, diundur terus, dasar jelek",1
skor naikk tetep aja spaylater dibekukan taiii,1
sportif,5
