title,release_year,rating,popularity,genres,poster_url
Cinderella,1950,7.043,13.1439,"['Family', 'Fantasy', 'Animation', 'Romance']",https://image.tmdb.org/t/p/w500/4nssBcQUBadCTBjrAkX46mVEKts.jpg
Sunset Boulevard,1950,8.295,5.4441,['Drama'],https://image.tmdb.org/t/p/w500/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg
Rashomon,1950,8.071,5.6019,"['Crime', 'Drama', 'Mystery']",https://image.tmdb.org/t/p/w500/vL7Xw04nFMHwnvXRFCmYYAzMUvY.jpg
Broken Arrow,1950,6.7,3.9647,"['Western', 'Romance']",https://image.tmdb.org/t/p/w500/n061xgOTAvJ2l06latNDF4s13FV.jpg
All About Eve,1950,8.08,4.3758,['Drama'],https://image.tmdb.org/t/p/w500/qU5QzNDrsusmuqKW6FsSvHYoIEQ.jpg
Kon-Tiki,1950,7.473,2.1682,['Documentary'],https://image.tmdb.org/t/p/w500/oGdy7EkyQ9LCpuLptEII5kwjB5r.jpg
Cyrano de Bergerac,1950,6.849,2.876,"['Romance', 'Drama', 'Adventure']",https://image.tmdb.org/t/p/w500/l4JFOXslwb90opz8xozfIhPke8z.jpg
Caged,1950,7.118,3.066,"['Crime', 'Drama']",https://image.tmdb.org/t/p/w500/vvGyjfwGOQkB91XbzLJHmItiBIl.jpg
Three Came Home,1950,6.7,1.7193,"['War', 'Drama']",https://image.tmdb.org/t/p/w500/hZczNjqrzjYiyuzhuKyPEcDwul2.jpg
The Lost Volcano,1950,5.3,1.695,['Adventure'],https://image.tmdb.org/t/p/w500/w8fUq6X6yPmzwhAMfW0xFqKvbVs.jpg
Three Husbands,1950,5.0,1.6536,"['Comedy', 'Romance']",https://image.tmdb.org/t/p/w500/3rw8KxBqc7SCRkzNMQg6lYeOzCr.jpg
Father of the Bride,1950,6.986,2.674,"['Comedy', 'Romance', 'Drama']",https://image.tmdb.org/t/p/w500/sygyqqXq41SBZiYjY8nuQRAcuUv.jpg
At War with the Army,1950,5.387,2.1142,['Comedy'],https://image.tmdb.org/t/p/w500/viLzurxFrHbosBtTGf0gkPKa9qx.jpg
Champagne for Caesar,1950,7.1,2.5472,['Comedy'],https://image.tmdb.org/t/p/w500/jVigwtKTVb9YnoZ4yi3Je5vx88y.jpg
The Great Rupert,1950,5.7,2.232,"['Family', 'Comedy']",https://image.tmdb.org/t/p/w500/aJGIPdcB8JddD3gpCTEIN9j6K1O.jpg
Woman on the Run,1950,6.8,2.2596,"['Thriller', 'Crime', 'Mystery']",https://image.tmdb.org/t/p/w500/6wp0FpyQvYVphtUSvANiCarawop.jpg
The Breaking Point,1950,7.1,2.315,"['Crime', 'Drama']",https://image.tmdb.org/t/p/w500/gmScaZfpgF9KkZ7TKFo0Fn4d7Yy.jpg
Cheaper by the Dozen,1950,6.3,2.2988,"['Comedy', 'Drama', 'Family']",https://image.tmdb.org/t/p/w500/sGj9auC0z18y25NObFbvWLt8gtX.jpg
