title,release_year,rating,popularity,genres,poster_url
Cinderella,1950,7.0,17.6459,"['Family', 'Fantasy', 'Animation', 'Romance']",https://image.tmdb.org/t/p/w500/4nssBcQUBadCTBjrAkX46mVEKts.jpg
Sunset Boulevard,1950,8.297,6.3591,['Drama'],https://image.tmdb.org/t/p/w500/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg
Broken Arrow,1950,6.7,4.4645,"['Western', 'Romance']",https://image.tmdb.org/t/p/w500/n061xgOTAvJ2l06latNDF4s13FV.jpg
Rashomon,1950,8.072,4.4286,"['Crime', 'Drama', 'Mystery']",https://image.tmdb.org/t/p/w500/vL7Xw04nFMHwnvXRFCmYYAzMUvY.jpg
All About Eve,1950,8.1,3.2072,['Drama'],https://image.tmdb.org/t/p/w500/qU5QzNDrsusmuqKW6FsSvHYoIEQ.jpg
Wagon Master,1950,6.655,2.8717,"['Adventure', 'Western']",https://image.tmdb.org/t/p/w500/6yVHAtXoSe2FOQP2fePuR6nnFLr.jpg
Cheaper by the Dozen,1950,6.3,2.9497,"['Comedy', 'Drama', 'Family']",https://image.tmdb.org/t/p/w500/jIDdkYptIfzYAZ52CMDdTRyPBJM.jpg
Woman on the Run,1950,6.8,2.3789,"['Thriller', 'Crime', 'Mystery']",https://image.tmdb.org/t/p/w500/6wp0FpyQvYVphtUSvANiCarawop.jpg
Caged,1950,7.1,2.7024,"['Crime', 'Drama']",https://image.tmdb.org/t/p/w500/vvGyjfwGOQkB91XbzLJHmItiBIl.jpg
Cyrano de Bergerac,1950,6.9,2.4307,"['Romance', 'Drama', 'Adventure']",https://image.tmdb.org/t/p/w500/l4JFOXslwb90opz8xozfIhPke8z.jpg
Father of the Bride,1950,7.0,2.8344,"['Comedy', 'Romance', 'Drama']",https://image.tmdb.org/t/p/w500/sygyqqXq41SBZiYjY8nuQRAcuUv.jpg
Orpheus,1950,7.6,2.383,"['Romance', 'Fantasy']",https://image.tmdb.org/t/p/w500/wcUmMtipWBBx7lpsfpPsUM4Snh1.jpg
The Damned Don't Cry,1950,7.1,2.9437,"['Crime', 'Drama']",https://image.tmdb.org/t/p/w500/7kIZMJuGDEag4QWSlY1v8jQIDdQ.jpg
Where the Sidewalk Ends,1950,7.2,1.5997,"['Crime', 'Drama', 'Thriller']",https://image.tmdb.org/t/p/w500/27Q0i6ZjmRnjfvegksunixnLxuG.jpg
Force of Evil,1950,6.6,2.1322,"['Crime', 'Drama']",https://image.tmdb.org/t/p/w500/x33LVKf4yWdjMeczJkzE5sIw4VG.jpg
Stromboli,1950,7.1,2.0555,['Drama'],https://image.tmdb.org/t/p/w500/tsyyzGSspKsawHocchfokskwbeM.jpg
Francis,1950,5.5,1.9224,"['Comedy', 'Family', 'Fantasy', 'War']",https://image.tmdb.org/t/p/w500/bKjJYQzIVrMKjehGq8xKrEWNebq.jpg
The Man Who Cheated Himself,1950,6.2,2.2688,"['Crime', 'Thriller']",https://image.tmdb.org/t/p/w500/tiJxVUqsyPt3nfPT1A8c0iXDtHo.jpg
Whirlpool,1950,6.433,2.1117,"['Thriller', 'Crime', 'Drama']",https://image.tmdb.org/t/p/w500/swwFPsZxjYMyQPkcqDrQs6yQ7Aq.jpg
The Furies,1950,7.116,2.6428,"['Western', 'Drama', 'Romance']",https://image.tmdb.org/t/p/w500/kVlgoW4LWj8Uxr5fXuFi6qhpzP0.jpg
The Breaking Point,1950,7.1,2.2161,"['Crime', 'Drama']",https://image.tmdb.org/t/p/w500/gmScaZfpgF9KkZ7TKFo0Fn4d7Yy.jpg
Summer Stock,1950,6.7,1.6809,"['Music', 'Romance']",https://image.tmdb.org/t/p/w500/akCdZrlDIoIRXbL8rZOoHFxSkWY.jpg
Panic in the Streets,1950,6.884,1.9699,"['Thriller', 'Crime']",https://image.tmdb.org/t/p/w500/79jfETdOonIFL8UEjBxptPS27yo.jpg
Union Station,1950,6.4,2.6169,"['Thriller', 'Crime']",https://image.tmdb.org/t/p/w500/oF9dN6RO2sgAQj1uANJR8ZOTS4T.jpg
Harvey,1950,7.7,1.6424,"['Comedy', 'Fantasy']",https://image.tmdb.org/t/p/w500/dgd82hYmpiXDM1G867HqNaWe8wj.jpg
The Big Lift,1950,6.7,1.6202,"['War', 'Drama', 'Romance']",https://image.tmdb.org/t/p/w500/uWF6c1B3QIakDNoYdpVrw8bSf2k.jpg
Black Hand,1950,6.1,1.8056,"['Crime', 'Drama', 'Thriller']",https://image.tmdb.org/t/p/w500/6WfHXzS2CpXT3DRAwEkDnw7aJIj.jpg
In a Lonely Place,1950,7.6,1.7504,"['Drama', 'Romance', 'Mystery']",https://image.tmdb.org/t/p/w500/vdlCUR7hu7BI8JRl46n66PiG17k.jpg
No Man of Her Own,1950,6.9,1.8775,"['Drama', 'Crime', 'Thriller']",https://image.tmdb.org/t/p/w500/pYJukaE6s3AwHXJ1pQl8PEVlozx.jpg
Young Man with a Horn,1950,6.298,2.3596,"['Drama', 'Music', 'Romance']",https://image.tmdb.org/t/p/w500/fCM4Guj2poyGcGC9yYIM8cXaIu6.jpg
Treasure Island,1950,6.583,2.5003,"['Adventure', 'Family']",https://image.tmdb.org/t/p/w500/zPzBsQZ2EhSmO9FLvQQtWVkJqRu.jpg
No Way Out,1950,6.911,2.2022,"['Drama', 'Crime', 'Thriller']",https://image.tmdb.org/t/p/w500/plRDHhcTwS6Z7ohWP39zgPRm7oX.jpg
The Killer That Stalked New York,1950,6.086,2.2176,['Thriller'],https://image.tmdb.org/t/p/w500/3JD63sXu6WxWlpDBZRgbQxTGifc.jpg
Rocketship X-M,1950,4.8,1.8381,"['Science Fiction', 'Adventure']",https://image.tmdb.org/t/p/w500/kEODdwwJBEROPYpFUPWHSAm1ZTJ.jpg
The Jackie Robinson Story,1950,6.4,1.7299,"['Drama', 'Family']",https://image.tmdb.org/t/p/w500/cx13WcbLX3dU7Lo6ZcVwygQpdtO.jpg
Dark City,1950,6.5,2.3211,"['Drama', 'Thriller', 'Crime']",https://image.tmdb.org/t/p/w500/7mkj8Vv5lpndZnjdHNBdIV4fhoh.jpg
The Underworld Story,1950,6.1,2.0411,"['Drama', 'Crime']",https://image.tmdb.org/t/p/w500/7ElO0mVXiN2Yqjbid2mzC2IX1Ii.jpg
The Iroquois Trail,1950,5.8,1.8339,['Western'],https://image.tmdb.org/t/p/w500/lJW57kTjmnmFnKm3d1Ut7WVkqyN.jpg
Champagne for Caesar,1950,7.1,2.0653,['Comedy'],https://image.tmdb.org/t/p/w500/jVigwtKTVb9YnoZ4yi3Je5vx88y.jpg
House by the River,1950,6.678,1.6077,"['Thriller', 'Crime', 'Drama']",https://image.tmdb.org/t/p/w500/FfR9iwl8MBQT7Ym7ap9iOwEvwi.jpg
Food for Feudin',1950,6.563,1.6442,"['Animation', 'Family']",https://image.tmdb.org/t/p/w500/wc6RlzWvqzotGHj9nuT03DrOFW2.jpg
The Baron of Arizona,1950,6.7,2.2592,"['Romance', 'Western', 'Drama']",https://image.tmdb.org/t/p/w500/gzieDFqLaZ6Xc1UyToJrom0XlTd.jpg
Bud Abbott and Lou Costello in the Foreign Legion,1950,6.1,2.5465,"['Comedy', 'Adventure']",https://image.tmdb.org/t/p/w500/5UiAkJV2YTtPsIs29G0W8MPkXbB.jpg
No desearás la mujer de tu hijo,1950,7.8,1.2764,['Drama'],https://image.tmdb.org/t/p/w500/tpit3tixg9p3rZjPRjpjSfqX3mo.jpg
Backfire,1950,5.8,1.8438,"['Mystery', 'Crime', 'Thriller']",https://image.tmdb.org/t/p/w500/2qPDrYCedMnhiuXNedlzAYd2pRK.jpg
Scandal,1950,6.9,1.6812,['Drama'],https://image.tmdb.org/t/p/w500/3eGk1WDTJ9kWbaBQiyDSqbQa3oX.jpg
Rio Grande,1950,6.791,1.4896,['Western'],https://image.tmdb.org/t/p/w500/zYoK2RkBCmyhIV6UUb6EZLqxmZq.jpg
Annie Get Your Gun,1950,6.8,1.9207,"['Music', 'Comedy', 'Romance', 'Western']",https://image.tmdb.org/t/p/w500/c2ZLeqZVI2FYctcrFwm5C86zkLH.jpg
King Solomon's Mines,1950,6.5,1.6697,"['Adventure', 'Action', 'Romance']",https://image.tmdb.org/t/p/w500/s5T4Da7d3f255YRyaWfhMWfoBKK.jpg
Did'ja Know?,1950,6.0,1.3705,['Comedy'],https://image.tmdb.org/t/p/w500/4VcwNusPdz11WcMBMYWA8b5IoGB.jpg
Rock Island Trail,1950,6.0,2.1023,['Western'],https://image.tmdb.org/t/p/w500/cfvIkrZqBzU8sAoKD0tK3w1axbW.jpg
The Nevadan,1950,5.8,1.658,['Western'],https://image.tmdb.org/t/p/w500/d7JFVv4bUkLu2vQoLpvh1lU3r6E.jpg
Appointment with Danger,1950,5.6,1.9763,"['Crime', 'Drama', 'Thriller']",https://image.tmdb.org/t/p/w500/hZOvwsG2KbwUROmiidyVbijdLJu.jpg
Madeleine,1950,6.7,1.5219,"['Drama', 'Crime', 'Mystery']",https://image.tmdb.org/t/p/w500/nQsThlhGuWUn8h3vpdbK3Kr4qGM.jpg
The Gunfighter,1950,7.3,1.3724,['Western'],https://image.tmdb.org/t/p/w500/5696EpyH0tB8DtKvwNGABMRWknX.jpg
A Lady Without Passport,1950,5.2,1.8803,"['Thriller', 'Crime']",https://image.tmdb.org/t/p/w500/wJfzpAglQhQLtUICju4A2cRmK77.jpg
The Cariboo Trail,1950,6.3,1.7073,['Western'],https://image.tmdb.org/t/p/w500/iTTY8vHk034q4inHual8ExIEKUn.jpg
The Flame and the Arrow,1950,6.3,2.3338,"['Adventure', 'History']",https://image.tmdb.org/t/p/w500/30edZxvbt7W8p8y5OsMX9XSWSwK.jpg
